date,calls
2017-02-23,419
2017-02-24,428
2017-02-25,296
2017-02-26,352
2017-02-27,470
2017-02-28,479
2017-03-01,535
2017-03-02,504
2017-03-03,458
2017-03-04,427
2017-03-05,430
2017-03-06,608
2017-03-07,570
2017-03-08,520
2017-03-09,490
2017-03-10,535
2017-03-11,373
2017-03-12,369
2017-03-13,593
2017-03-14,515
2017-03-15,529
2017-03-16,489
2017-03-17,443
2017-03-18,445
2017-03-19,403
2017-03-20,508
2017-03-21,454
2017-03-22,444
2017-03-23,480
2017-03-24,520
2017-03-25,185
2017-03-26,360
2017-03-27,515
2017-03-28,486
2017-03-29,440
2017-03-30,404
2017-03-31,361
2017-04-01,403
2017-04-02,379
2017-04-03,451
2017-04-04,429
2017-04-05,407
2017-04-06,461
2017-04-07,438
2017-04-08,332
2017-04-09,400
2017-04-10,572
2017-04-11,560
2017-04-12,515
2017-04-13,524
2017-04-14,454
2017-04-15,448
2017-04-16,438
2017-04-17,574
2017-04-18,502
2017-04-19,426
2017-04-20,427
2017-04-21,461
2017-04-22,399
2017-04-23,350
2017-04-24,507
2017-04-25,467
2017-04-26,447
2017-04-27,404
2017-04-28,448
2017-04-29,370
2017-04-30,374
2017-05-01,423
2017-05-02,496
2017-05-03,441
2017-05-04,460
2017-05-05,381
2017-05-06,326
2017-05-07,346
2017-05-08,499
2017-05-09,389
2017-05-10,422
2017-05-11,426
2017-05-12,376
2017-05-13,389
2017-05-14,329
2017-05-15,502
2017-05-16,440
2017-05-17,431
2017-05-18,433
2017-05-19,416
2017-05-20,371
2017-05-21,358
2017-05-22,471
2017-05-23,450
2017-05-24,432
2017-05-25,419
2017-05-26,410
2017-05-27,361
2017-05-28,345
2017-05-29,440
2017-05-30,413
2017-05-31,415
2017-06-01,464
2017-06-02,451
2017-06-03,347
2017-06-04,382
2017-06-05,501
2017-06-06,435
2017-06-07,392
2017-06-08,479
2017-06-09,406
2017-06-10,351
2017-06-11,347
2017-06-12,484
2017-06-13,462
2017-06-14,411
2017-06-15,437
2017-06-16,482
2017-06-17,371
2017-06-18,361
2017-06-19,446
2017-06-20,432
2017-06-21,437
2017-06-22,400
2017-06-23,375
2017-06-24,353
2017-06-25,350
2017-06-26,429
2017-06-27,409
2017-06-28,348
2017-06-29,380
2017-06-30,343
2017-07-01,320
2017-07-02,289
2017-07-03,359
2017-07-04,346
2017-07-05,328
2017-07-06,365
2017-07-07,349
2017-07-08,369
2017-07-09,371
2017-07-10,404
2017-07-11,403
2017-07-12,425
2017-07-13,399
2017-07-14,419
2017-07-15,403
2017-07-16,348
2017-07-17,424
2017-07-18,417
2017-07-19,360
2017-07-20,411
2017-07-21,407
2017-07-22,376
2017-07-23,396
2017-07-24,456
2017-07-25,456
2017-07-26,400
2017-07-27,453
2017-07-28,354
2017-07-29,317
2017-07-30,314
2017-07-31,489
2017-08-01,382
2017-08-02,407
2017-08-03,399
2017-08-04,404
2017-08-05,379
2017-08-06,423
2017-08-07,555
2017-08-08,485
2017-08-09,473
2017-08-10,448
2017-08-11,490
2017-08-12,361
2017-08-13,359
2017-08-14,498
2017-08-15,447
2017-08-16,474
2017-08-17,457
2017-08-18,441
2017-08-19,405
2017-08-20,371
2017-08-21,469
2017-08-22,454
2017-08-23,437
2017-08-24,460
2017-08-25,421
2017-08-26,350
2017-08-27,382
2017-08-28,592
2017-08-29,427
2017-08-30,488
2017-08-31,455
2017-09-01,462
2017-09-02,383
2017-09-03,392
2017-09-04,467
2017-09-05,444
2017-09-06,429
2017-09-07,433
2017-09-08,500
2017-09-09,338
2017-09-10,384
2017-09-11,557
2017-09-12,462
2017-09-13,431
2017-09-14,411
2017-09-15,418
2017-09-16,404
2017-09-17,389
2017-09-18,485
2017-09-19,444
2017-09-20,376
2017-09-21,446
2017-09-22,404
2017-09-23,307
2017-09-24,349
2017-09-25,490
2017-09-26,385
2017-09-27,392
2017-09-28,393
2017-09-29,363
2017-09-30,310
2017-10-01,318
2017-10-02,428
2017-10-03,391
2017-10-04,379
2017-10-05,414
2017-10-06,412
2017-10-07,324
2017-10-08,357
2017-10-09,470
2017-10-10,399
2017-10-11,378
2017-10-12,379
2017-10-13,482
2017-10-14,378
2017-10-15,317
2017-10-16,459
2017-10-17,468
2017-10-18,407
2017-10-19,432
2017-10-20,403
2017-10-21,339
2017-10-22,343
2017-10-23,477
2017-10-24,384
2017-10-25,349
2017-10-26,373
2017-10-27,404
2017-10-28,366
2017-10-29,446
2017-10-30,473
2017-10-31,393
2017-11-01,418
2017-11-02,470
2017-11-03,450
2017-11-04,349
2017-11-05,349
2017-11-06,537
2017-11-07,437
2017-11-08,453
2017-11-09,453
2017-11-10,412
2017-11-11,450
2017-11-12,434
2017-11-13,494
2017-11-14,392
2017-11-15,472
2017-11-16,477
2017-11-17,446
2017-11-18,317
2017-11-19,293
2017-11-20,451
2017-11-21,456
2017-11-22,433
2017-11-23,482
2017-11-24,485
2017-11-25,427
2017-11-26,462
2017-11-27,536
2017-11-28,423
2017-11-29,483
2017-11-30,487
2017-12-01,450
2017-12-02,336
2017-12-03,372
2017-12-04,517
2017-12-05,451
2017-12-06,471
2017-12-07,437
2017-12-08,443
2017-12-09,450
2017-12-10,497
2017-12-11,550
2017-12-12,444
2017-12-13,440
2017-12-14,478
2017-12-15,451
2017-12-16,347
2017-12-17,384
2017-12-18,559
2017-12-19,471
2017-12-20,444
2017-12-21,406
2017-12-22,411
2017-12-23,408
2017-12-24,305
2017-12-25,425
2017-12-26,499
2017-12-27,506
2017-12-28,477
2017-12-29,414
2017-12-30,345
2017-12-31,274
2018-01-01,448
2018-01-02,501
2018-01-03,531
2018-01-04,415
2018-01-05,388
2018-01-06,354
2018-01-07,374
2018-01-08,398
2018-01-09,437
2018-01-10,383
2018-01-11,428
2018-01-12,368
2018-01-13,388
2018-01-14,391
2018-01-15,438
2018-01-16,419
2018-01-17,346
2018-01-18,441
2018-01-19,397
2018-01-20,333
2018-01-21,347
2018-01-22,485
2018-01-23,434
2018-01-24,415
2018-01-25,416
2018-01-26,420
2018-01-27,371
2018-01-28,327
2018-01-29,457
2018-01-30,377
2018-01-31,386
2018-02-01,376
2018-02-02,412
2018-02-03,382
2018-02-04,384
2018-02-05,443
2018-02-06,376
2018-02-07,433
2018-02-08,383
2018-02-09,448
2018-02-10,369
2018-02-11,401
2018-02-12,479
2018-02-13,417
2018-02-14,498
2018-02-15,381
2018-02-16,418
2018-02-17,468
2018-02-18,385
2018-02-19,390
2018-02-20,395
2018-02-21,438
2018-02-22,492
2018-02-23,443
2018-02-24,371
2018-02-25,367
2018-02-26,482
2018-02-27,429
2018-02-28,449
2018-03-01,426
2018-03-02,507
2018-03-03,450
2018-03-04,407
2018-03-05,516
2018-03-06,468
2018-03-07,526
2018-03-08,534
2018-03-09,502
2018-03-10,404
2018-03-11,413
2018-03-12,559
2018-03-13,481
2018-03-14,562
2018-03-15,516
2018-03-16,520
2018-03-17,457
2018-03-18,427
2018-03-19,531
2018-03-20,439
2018-03-21,478
2018-03-22,470
2018-03-23,485
2018-03-24,395
2018-03-25,389
2018-03-26,528
2018-03-27,463
2018-03-28,441
2018-03-29,487
2018-03-30,416
2018-03-31,431
2018-04-01,436
