date,calls
2023-10-17,374
2023-10-18,373
2023-10-19,363
2023-10-20,382
2023-10-21,249
2023-10-22,293
2023-10-23,409
2023-10-24,368
2023-10-25,376
2023-10-26,336
2023-10-27,353
2023-10-28,282
2023-10-29,238
2023-10-30,431
2023-10-31,371
2023-11-01,403
2023-11-02,294
2023-11-03,354
2023-11-04,265
2023-11-05,369
2023-11-06,434
2023-11-07,364
2023-11-08,394
2023-11-09,348
2023-11-10,343
2023-11-11,273
2023-11-12,309
2023-11-13,509
2023-11-14,490
2023-11-15,398
2023-11-16,426
2023-11-17,403
2023-11-18,355
2023-11-19,341
2023-11-20,482
2023-11-21,409
2023-11-22,444
2023-11-23,470
2023-11-24,402
2023-11-25,347
2023-11-26,374
2023-11-27,540
2023-11-28,428
2023-11-29,426
2023-11-30,458
2023-12-01,437
2023-12-02,350
2023-12-03,361
2023-12-04,508
2023-12-05,431
2023-12-06,369
2023-12-07,374
2023-12-08,340
2023-12-09,287
2023-12-10,268
2023-12-11,459
2023-12-12,398
2023-12-13,376
2023-12-14,401
2023-12-15,329
2023-12-16,2
2023-12-17,250
2023-12-18,406
2023-12-19,394
2023-12-20,391
2023-12-21,346
2023-12-22,339
2023-12-23,263
2023-12-24,244
2023-12-25,325
2023-12-26,485
2023-12-27,405
2023-12-28,372
2023-12-29,363
2023-12-30,299
2023-12-31,229
